ID,Dutch_Orig,English_gloss,High_Language_HL,Contemporary_Equiv_HL,Low_Language_LL,Contemporary_Equiv_LL,Remarks_Split,Remarks_Category,Remarks_Orig,pagenum
1,De zon,The sun,bakka-kaha,bak kaha’,bakka-moenai,—,HL: cf. Kähler p. 25 ebaka ukaha’o ‘eye of day’ < PAN *maCa + ?,Rm_HL,"HL: cf. Kähler p. 25 ebaka ukaha’o ‘eye of day’ < PAN *maCa + ?
no final vowel in Walland but in Kähler!
LL: ‘eye of moon(?)’ (cf. ‘moon’), not in Kähler
OE V# > ME Ø
ME: bak kaha’ ‘sun’",1
1,De zon,The sun,bakka-kaha,bak kaha’,bakka-moenai,—,"LL: ‘eye of moon(?)’ (cf. ‘moon’), not in Kähler",Rm_LL,"HL: cf. Kähler p. 25 ebaka ukaha’o ‘eye of day’ < PAN *maCa + ?
no final vowel in Walland but in Kähler!
LL: ‘eye of moon(?)’ (cf. ‘moon’), not in Kähler
OE V# > ME Ø
ME: bak kaha’ ‘sun’",1
1,De zon,The sun,bakka-kaha,bak kaha’,bakka-moenai,—,OE V# > ME Ø,Rm_Sound_Changes,"HL: cf. Kähler p. 25 ebaka ukaha’o ‘eye of day’ < PAN *maCa + ?
no final vowel in Walland but in Kähler!
LL: ‘eye of moon(?)’ (cf. ‘moon’), not in Kähler
OE V# > ME Ø
ME: bak kaha’ ‘sun’",1
1,De zon,The sun,bakka-kaha,bak kaha’,bakka-moenai,—,ME: bak kaha’ ‘sun’,Rm_Contemporary_Enggano_Translation,"HL: cf. Kähler p. 25 ebaka ukaha’o ‘eye of day’ < PAN *maCa + ?
no final vowel in Walland but in Kähler!
LL: ‘eye of moon(?)’ (cf. ‘moon’), not in Kähler
OE V# > ME Ø
ME: bak kaha’ ‘sun’",1
1,De zon,The sun,bakka-kaha,bak kaha’,bakka-moenai,—,no final vowel in Walland but in Kähler!,Rm_Others,"HL: cf. Kähler p. 25 ebaka ukaha’o ‘eye of day’ < PAN *maCa + ?
no final vowel in Walland but in Kähler!
LL: ‘eye of moon(?)’ (cf. ‘moon’), not in Kähler
OE V# > ME Ø
ME: bak kaha’ ‘sun’",1
2,De maan,The moon,kanoeah,kanña,moena,—,"HL: cf. Kähler p. 121 kanə ̃́ã͜i ‘moon, month’, etymology unclear ",Rm_HL,"HL: cf. Kähler p. 121 kanə ̃́ã͜i ‘moon, month’, etymology unclear 
LL: ?< PAN *wulan ‘moon’ or borrowing from Bengkulu Malay bulan as mũna (< *bũla), cf. muo < bungo ‘flower’
ME: kanña ‘moon’",1
2,De maan,The moon,kanoeah,kanña,moena,—,"LL: ?< PAN *wulan ‘moon’ or borrowing from Bengkulu Malay bulan as mũna (< *bũla), cf. muo < bungo ‘flower’",Rm_LL,"HL: cf. Kähler p. 121 kanə ̃́ã͜i ‘moon, month’, etymology unclear 
LL: ?< PAN *wulan ‘moon’ or borrowing from Bengkulu Malay bulan as mũna (< *bũla), cf. muo < bungo ‘flower’
ME: kanña ‘moon’",1
2,De maan,The moon,kanoeah,kanña,moena,—,ME: kanña ‘moon’,Rm_Contemporary_Enggano_Translation,"HL: cf. Kähler p. 121 kanə ̃́ã͜i ‘moon, month’, etymology unclear 
LL: ?< PAN *wulan ‘moon’ or borrowing from Bengkulu Malay bulan as mũna (< *bũla), cf. muo < bungo ‘flower’
ME: kanña ‘moon’",1
3,De sterren,The stars,peloa,—,kenoeaij-noekie (kleine maan),kanña nuik,"HL: cf. Kähler p. 19 e-ʔaperúã͜u (PAN *bituqən rather unlikely, which has the Enggano reflex ẽ-pẽkõ ‘evening star’ acc. to Edwards 2015:97-98);",Rm_HL,"HL: cf. Kähler p. 19 e-ʔaperúã͜u (PAN *bituqən rather unlikely, which has the Enggano reflex ẽ-pẽkõ ‘evening star’ acc. to Edwards 2015:97-98);
LL: literally ‘small moon’ (acc. to Engga, some speakers might call a star kanña nuik ‘small moon’)
ME: ko’mim ‘star’ (Kähler p. 123 ka’õmĩmĩ ‘star in the Milky Way’)",1
3,De sterren,The stars,peloa,—,kenoeaij-noekie (kleine maan),kanña nuik,"LL: literally ‘small moon’ (acc. to Engga, some speakers might call a star kanña nuik ‘small moon’)",Rm_LL,"HL: cf. Kähler p. 19 e-ʔaperúã͜u (PAN *bituqən rather unlikely, which has the Enggano reflex ẽ-pẽkõ ‘evening star’ acc. to Edwards 2015:97-98);
LL: literally ‘small moon’ (acc. to Engga, some speakers might call a star kanña nuik ‘small moon’)
ME: ko’mim ‘star’ (Kähler p. 123 ka’õmĩmĩ ‘star in the Milky Way’)",1
